1981-2010 Mean,Mean DBO 1,Sample SD DBO 1,Mean DBO 2,Sample SD DBO 2,Mean DBO 3,Sample SD DBO 3,Mean DBO 4,Sample SD DBO 4,Mean DBO 5,Sample SD DBO 5,Mean DBO6,Sample SD DBO 6,Mean DBO 7,Sample SD DBO 7,Mean DBO 8 ,Sample SD DBO 8 
12-Mar,93.73339,1.441382,98.22111,0.42073,98.56914,0.494472,99.0144,0.507721,98.09292,0.772761,99.14105,0.311983,99.31717,0.297876,99.19833,0.283232
13-Mar,93.73933,1.416507,98.05956,0.739295,98.75889,0.353184,99.01387,0.50654,98.74,0.616343,99.41526,0.24031,99.26733,0.340136,99.16389,0.379763
14-Mar,94.08005,1.470023,97.66756,0.613818,98.98434,0.320743,99.30227,0.411501,98.7925,0.393033,99.52017,0.232861,99.47233,0.420971,99.23333,0.537878
15-Mar,94.53651,1.509802,97.63911,0.677029,99.04748,0.343686,99.32293,0.373401,98.78875,0.285446,99.42246,0.31067,99.38767,0.372205,99.1813,0.49244
16-Mar,94.40339,1.811117,97.65244,0.776814,99.01672,0.354678,99.2716,0.402415,98.30833,0.362768,99.18579,0.232483,99.21733,0.36666,99.32019,0.417359
17-Mar,94.70692,1.842697,97.36111,0.908488,98.80914,0.399468,99.07107,0.594031,97.76292,0.578238,99.18053,0.344801,99.272,0.381224,99.37519,0.386519
18-Mar,94.47256,1.918728,97.296,0.845693,98.81732,0.367143,98.894,0.727001,97.3775,0.990343,99.26158,0.31605,99.435,0.293132,99.33333,0.328471
19-Mar,94.85051,2.022543,97.19489,0.618126,98.75793,0.488436,98.8808,0.469127,97.57375,0.886392,99.45544,0.218258,99.24517,0.312426,99.2637,0.206447
20-Mar,95.28154,2.267023,97.24889,0.669398,98.67515,0.481435,98.99933,0.427016,97.6975,0.760998,99.30754,0.200304,99.31783,0.397643,99.25407,0.331462
21-Mar,95.39118,1.876785,97.548,0.661594,98.64763,0.393067,99.14027,0.309542,98.30583,0.558826,99.33614,0.286114,99.409,0.330403,99.22759,0.358876
22-Mar,95.15867,1.63303,97.206,0.620461,98.74662,0.38752,98.95813,0.210062,98.40375,0.383458,99.35912,0.284326,99.25867,0.328975,99.21037,0.414243
23-Mar,95.64467,1.712996,97.34911,0.709296,98.87167,0.339624,98.87453,0.332146,98.32792,0.343332,99.36491,0.353967,99.36317,0.341547,99.14352,0.275393
24-Mar,96.01328,1.970934,97.30711,0.67093,98.90505,0.405642,98.9024,0.361143,97.91917,0.676792,99.1186,0.409829,99.467,0.329791,99.05722,0.228479
25-Mar,96.114,2.46962,97.50933,0.802695,98.82268,0.46389,99.01333,0.451556,98.21125,0.664769,99.17491,0.370692,99.42217,0.304999,98.82871,0.319754
26-Mar,96.10097,2.540676,97.30156,0.55093,98.73616,0.388441,99.04947,0.380558,98.225,0.462321,99.15754,0.31561,99.408,0.211705,98.81222,0.397544
27-Mar,95.80415,2.82505,96.86444,0.719375,98.7901,0.446618,99.18027,0.360675,98.41667,0.522948,99.21965,0.249255,99.37217,0.249471,98.8737,0.352086
